"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar  [MW] Intraday / BZN|DE-AT-LU","Generation - Solar  [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-AT-LU"
"02.01.2018 18:00 - 02.01.2018 18:15","8","0","","3033","7368","3133","16140","6853","6630"
"02.01.2018 18:15 - 02.01.2018 18:30","8","0","","3070","7432","3163","16373","6973","6866"
"02.01.2018 18:30 - 02.01.2018 18:45","8","0","","3109","7491","3183","16611","7099","6921"
"02.01.2018 18:45 - 02.01.2018 19:00","8","0","","3142","7637","3290","16843","7219","6778"
"02.01.2018 19:00 - 02.01.2018 19:15","0","0","","3175","7830","3453","17066","7348","6863"
"02.01.2018 19:15 - 02.01.2018 19:30","0","0","","3194","7920","3517","17335","7501","7176"
"02.01.2018 19:30 - 02.01.2018 19:45","0","0","","3212","7990","3562","17611","7656","7339"
"02.01.2018 19:45 - 02.01.2018 20:00","0","0","","3230","8073","3621","17890","7808","7455"
"02.01.2018 20:00 - 02.01.2018 20:15","0","0","","3247","8118","3646","18166","7918","7664"
"02.01.2018 20:15 - 02.01.2018 20:30","0","0","","3269","8261","3785","18466","8009","7791"
"02.01.2018 20:30 - 02.01.2018 20:45","0","0","","3293","8287","3807","18763","8102","8134"
"02.01.2018 20:45 - 02.01.2018 21:00","0","0","","3321","8331","3846","19041","8193","8302"
"02.01.2018 21:00 - 02.01.2018 21:15","0","0","","3356","8358","3861","19311","8328","8435"
"02.01.2018 21:15 - 02.01.2018 21:30","0","0","","3366","8470","3910","19631","8532","8592"
"02.01.2018 21:30 - 02.01.2018 21:45","0","0","","3371","8580","3949","19955","8733","8754"
"02.01.2018 21:45 - 02.01.2018 22:00","0","0","","3379","8664","3962","20245","8933","8919"
"02.01.2018 22:00 - 02.01.2018 22:15","0","0","","3388","8749","3980","20552","9149","9122"
"02.01.2018 22:15 - 02.01.2018 22:30","0","0","","3405","8824","4003","20835","9381","9558"
"02.01.2018 22:30 - 02.01.2018 22:45","0","0","","3422","8901","3996","21134","9610","9894"
"02.01.2018 22:45 - 02.01.2018 23:00","0","0","","3437","8980","3999","21434","9840","9971"
"02.01.2018 23:00 - 02.01.2018 23:15","0","0","","3452","9066","3996","21755","10092","10349"
"02.01.2018 23:15 - 02.01.2018 23:30","0","0","","3457","9231","3985","22132","10362","10819"
"02.01.2018 23:30 - 02.01.2018 23:45","0","0","","3462","9412","3982","22519","10628","11001"
"02.01.2018 23:45 - 03.01.2018 00:00","0","0","","3469","9622","3978","22902","10899","11104"
"03.01.2018 00:00 - 03.01.2018 00:15","0","0","","3617","10561","3966","24391","11172","11305"
"03.01.2018 00:15 - 03.01.2018 00:30","0","0","","3615","10716","3953","24794","11402","11582"
"03.01.2018 00:30 - 03.01.2018 00:45","0","0","","3610","10949","3953","25216","11638","11722"
"03.01.2018 00:45 - 03.01.2018 01:00","0","0","","3607","11183","3950","25615","11870","12069"
"03.01.2018 01:00 - 03.01.2018 01:15","0","0","","3490","11744","3724","25910","13423","12596"
"03.01.2018 01:15 - 03.01.2018 01:30","0","0","","3494","12304","3944","26280","13625","12828"
"03.01.2018 01:30 - 03.01.2018 01:45","0","0","","3501","12590","3936","26656","13561","12769"
"03.01.2018 01:45 - 03.01.2018 02:00","0","0","","3504","12890","3927","27037","13619","12776"
"03.01.2018 02:00 - 03.01.2018 02:15","0","0","","3512","12651","3921","27317","13736","12903"
"03.01.2018 02:15 - 03.01.2018 02:30","0","0","","3525","12964","3923","27679","13720","12840"
"03.01.2018 02:30 - 03.01.2018 02:45","0","0","","3534","13213","3931","28043","13618","12799"
"03.01.2018 02:45 - 03.01.2018 03:00","0","0","","3552","13464","3916","28379","13885","13030"
"03.01.2018 03:00 - 03.01.2018 03:15","0","0","","3573","13730","3905","28738","13862","13001"
"03.01.2018 03:15 - 03.01.2018 03:30","0","0","","3576","13957","3896","29144","13824","12937"
"03.01.2018 03:30 - 03.01.2018 03:45","0","0","","3584","14260","3906","29570","13748","12859"
"03.01.2018 03:45 - 03.01.2018 04:00","0","0","","3590","14427","3920","30026","14124","13193"
"03.01.2018 04:00 - 03.01.2018 04:15","0","0","","3591","14633","3924","30425","14219","13250"
"03.01.2018 04:15 - 03.01.2018 04:30","0","0","","3583","14826","3908","30741","14329","13453"
"03.01.2018 04:30 - 03.01.2018 04:45","0","0","","3580","15004","3875","31053","14459","13737"
"03.01.2018 04:45 - 03.01.2018 05:00","0","0","","3574","15211","3864","31353","14553","13885"
"03.01.2018 05:00 - 03.01.2018 05:15","0","0","","3600","15353","3860","31677","14659","14105"
"03.01.2018 05:15 - 03.01.2018 05:30","0","0","","3626","15598","3865","31981","14734","14292"
"03.01.2018 05:30 - 03.01.2018 05:45","0","0","","3658","15811","3875","32289","14803","14452"
"03.01.2018 05:45 - 03.01.2018 06:00","0","0","","3684","16006","3884","32623","14868","14505"
"03.01.2018 06:00 - 03.01.2018 06:15","0","0","","3711","16193","3899","32934","14912","14233"
"03.01.2018 06:15 - 03.01.2018 06:30","0","0","","3724","16202","3803","33247","14948","13956"
"03.01.2018 06:30 - 03.01.2018 06:45","0","0","","3739","16370","3798","33597","14929","13931"
"03.01.2018 06:45 - 03.01.2018 07:00","0","0","","3755","16502","3800","33950","14899","14529"
"03.01.2018 07:00 - 03.01.2018 07:15","8","0","","3756","16528","3805","34166","14854","14608"
"03.01.2018 07:15 - 03.01.2018 07:30","8","0","","3748","16423","3678","34131","14741","14461"
"03.01.2018 07:30 - 03.01.2018 07:45","8","0","","3737","16564","3683","34105","14635","14062"
"03.01.2018 07:45 - 03.01.2018 08:00","8","0","","3726","16658","3689","34056","14508","13553"
"03.01.2018 08:00 - 03.01.2018 08:15","14","4","","3714","16909","3695","34124","14434","13488"
